val/generations,_step,_runtime,val/HuggingFaceH4/MATH-500/test_score/unknown,val/HuggingFaceH4/MATH-500/1_length/unknown,val/HuggingFaceH4/MATH-500/length/unknown,val/HuggingFaceH4/MATH-500/test_score/,val/HuggingFaceH4/MATH-500/reward/unknown,val/HuggingFaceH4/MATH-500/0_length/mean,val/HuggingFaceH4/MATH-500/0_length/unknown,val/HuggingFaceH4/MATH-500/length/mean,val/HuggingFaceH4/MATH-500/1_length/mean,_timestamp,val/HuggingFaceH4/MATH-500/reward/mean,timing_s/ref,critic/advantages/max,critic/score/under_2k,critic/rewards/max,timing_s/step,critic/score/under_8k,critic/advantages/mean,critic/score/min,perf/max_memory_reserved_gb,critic/returns/min,critic/score/mean,timing_per_token_ms/adv,perf/max_memory_allocated_gb,prompt_length/min,perf/mfu/actor,timing_s/adv,actor/kl_coef,difficulty/verification/unknown,response_length/mean,global_seqlen/balanced_max,prompt_length/mean,timing_s/old_log_prob,critic/rewards/mean,timing_s/update_actor,timing_s/gen,actor/ppo_kl,global_seqlen/minmax_diff,timing_per_token_ms/ref,actor/entropy,actor/pg_clipfrac,difficulty/1_length/unknown,difficulty/1_verification/unknown,difficulty/0_length/unknown,difficulty/zero_advantage_ratio/unknown,critic/advantages/min,perf/total_num_tokens,critic/score/under_16k,actor/pg_loss,global_seqlen/balanced_min,critic/rewards/min,critic/returns/mean,critic/returns/max,perf/throughput,global_seqlen/mean,response_length/min,prompt_length/clip_ratio,actor/pg_clipfrac_lower,steps/steps,critic/score/under_4k,difficulty/0_verification/unknown,difficulty/length/unknown,prompt_length/max,response_length/clip_ratio,global_seqlen/max,timing_per_token_ms/update_actor,actor/lr,steps/compute_matched_steps,critic/score/max,perf/time_per_step,timing_per_token_ms/gen,actor/kl_loss,perf/cpu_memory_used_gb,response_length/max,global_seqlen/min,actor/grad_norm,difficulty/reward/unknown,timing_s/save_checkpoint,timing_s/testing
,11,2295.139191111,,,,,,,,,,1779933881.9641411,,12.56498915300017,2.4748666286468506,0.30859375,1.0,168.59350359500013,0.30859375,-0.0029530576430261135,0.0,211.939453125,-2.4748666286468506,0.30859375,0.00023292433407695669,164.97439622879028,38.0,0.0,0.24297222400036844,0.001,7.462890625,1933.19140625,1043138.0,104.1875,12.292798717000096,0.30859375,45.61905462699997,97.83184656199955,2.875706195482053e-05,0.0,0.012045375734562607,0.11458240968711449,0.0008205925872916299,1675.9620253164558,4.651898734177215,2048.0,0.75,-2.4748666286468506,1043138.0,0.30859375,0.0031945860299112446,1043138.0,0.0,-0.0029530576430261135,2.4748666286468506,6187.296531341174,1043138.0,569.0,0.0,9.99077835303703e-07,11.0,0.30859375,8.717514124293785,1933.19140625,428.0,0.775390625,1043138.0,0.0437325211304736,1e-06,8804874.0,1.0,168.59350359500013,0.09884061386712746,0.002818021457642317,35.855438232421875,2048.0,1043138.0,0.2383710891008377,0.30859375,,
,12,2458.889366019,,,,,,,,,,1779934049.1542685,,12.302189878999798,2.4748666286468506,0.443359375,1.0,166.90350371199975,0.443359375,-0.005524607375264168,0.0,211.939453125,-2.4748666286468506,0.443359375,0.000237632026986933,164.97439622879028,36.0,0.0,0.2414072869996744,0.001,7.31640625,1899.763671875,1015887.0,84.390625,12.003919512000266,0.443359375,44.892831445999946,97.4222220810002,0.000134075375399334,0.0,0.01210980146315466,0.11417205375619233,0.0009502619086561026,1716.1674008810573,5.317180616740088,2045.9964912280702,0.640625,-2.4748666286468506,1015887.0,0.443359375,0.005617354931018781,1015887.0,0.0,-0.005524607375264168,2.4748666286468506,6086.672702527343,1015887.0,912.0,0.0,1.0196423545494326e-06,12.0,0.443359375,8.908771929824562,1899.763671875,393.0,0.6875,1015887.0,0.04419077264105156,1e-06,9794668.0,1.0,166.90350371199975,0.10015865674184413,0.0032313375268131495,35.84697341918945,2048.0,1015887.0,0.24193072319030762,0.443359375,,
,13,2616.897500007,,,,,,,,,,1779934212.9042656,,12.269578179000291,2.4748666286468506,0.408203125,1.0,163.4680918719996,0.408203125,-0.003308502258732915,0.0,211.939453125,-2.4748666286468506,0.408203125,0.0002374269345451017,164.97439622879028,35.0,0.0,0.24158807899993917,0.001,7.15625,1881.15234375,1017526.0,106.203125,12.124776767000185,0.408203125,44.381593321999844,94.40530636999983,1.6230544588324847e-06,0.0,0.01205824537063455,0.11792984860949218,0.0011903331651410554,1645.956937799043,5.392344497607655,2043.3828382838283,0.703125,-2.4748666286468506,1017526.0,0.408203125,0.003353893378516659,1017526.0,0.0,-0.003308502258732915,2.4748666286468506,6224.615387306002,1017526.0,705.0,0.0,4.13518773711985e-06,13.0,0.408203125,8.372937293729374,1881.15234375,332.0,0.703125,1017526.0,0.04361715899348011,1e-06,10767347.0,1.0,163.4680918719996,0.09801724172766425,0.004079301841557026,35.841392517089844,2048.0,1017526.0,0.25869688391685486,0.408203125,,
,14,2781.022519728,,,,,,,,,,1779934370.9127572,,12.133872269999756,2.4748666286468506,0.541015625,1.0,157.70668109000007,0.541015625,-0.0038742502219974995,0.0,211.939453125,-2.4748666286468506,0.541015625,0.00025351312064695274,164.97439622879028,31.0,0.0,0.24753021099968464,0.001,6.134765625,1814.765625,976400.0,92.265625,11.49150902700012,0.541015625,42.804250039999715,90.98900333900019,-2.082810662555388e-05,0.0,0.012427153082752721,0.10616661776458064,0.0012569612928576047,1627.2635379061371,4.404332129963899,2035.7787234042553,0.59375,-2.4748666286468506,976400.0,0.541015625,0.004021792852830502,976400.0,0.0,-0.0038742502219974995,2.4748666286468506,6191.240556529041,976400.0,574.0,0.0,0.0,14.0,0.541015625,8.174468085106383,1814.765625,444.0,0.60546875,976400.0,0.0438388468250714,1e-06,11730497.0,1.0,157.70668109000007,0.09792608736816069,0.0036167739890515804,35.8278694152832,2048.0,976400.0,0.28080612421035767,0.541015625,,
,15,2940.560651311,,,,,,,,,,1779934535.038651,,12.262242475999756,2.4748666286468506,0.42578125,1.0,163.8270064809999,0.42578125,-0.007292039692401886,0.0,211.939453125,-2.4748666286468506,0.42578125,0.00023626200561453688,164.97439622879028,38.0,0.0,0.24012181800026156,0.001,6.8125,1899.423828125,1016337.0,85.609375,12.016848020999987,0.42578125,44.477956534999976,94.7855489640001,7.004982859371012e-05,0.0,0.012065134375703881,0.11764258169569075,0.0012201693189126672,1737.4633027522937,4.743119266055046,2019.5170068027212,0.546875,-2.4748666286468506,1016337.0,0.42578125,0.007466755789209856,1016337.0,0.0,-0.007292039692401886,2.4748666286468506,6203.720752950896,1016337.0,710.0,0.0,1.0324093864255701e-06,15.0,0.42578125,8.346938775510203,1899.423828125,240.0,0.728515625,1016337.0,0.04376300039750592,1e-06,12659657.0,1.0,163.8270064809999,0.09746535900997949,0.0036315349861979485,35.84854507446289,2048.0,1016337.0,0.26700499653816223,0.42578125,,
,16,3102.013504458,,,,,,,,,,1779934694.575885,,11.757575245000226,2.4748666286468506,0.4921875,1.0,159.2549819699998,0.4921875,-0.0032702109310775995,0.0,211.939453125,-2.4748666286468506,0.4921875,0.00024101595127154601,164.97439622879028,33.0,0.0,0.23563285999989603,0.001,6.357421875,1820.626953125,977665.0,88.875,11.51845365500003,0.4921875,43.15667213699999,92.54195533199982,0.00010068228971982946,0.0,0.012026179974735953,0.11249621693165071,0.0008798919847205041,1586.0357142857142,4.444444444444445,2048.0,0.71875,-2.4748666286468506,977665.0,0.4921875,0.0032712121479093067,977665.0,0.0,-0.0032702109310775995,2.4748666286468506,6138.991621525354,977665.0,715.0,0.0,1.0577801261998472e-06,16.0,0.4921875,8.211538461538462,1820.626953125,328.0,0.634765625,977665.0,0.044142597041931526,1e-06,13632162.0,1.0,159.2549819699998,0.09927679374271162,0.004311986267566681,35.83505630493164,2048.0,977665.0,0.24551916122436523,0.4921875,,
,17,3262.321598061,,,,,,,,,,1779934856.029735,,11.947742178000226,2.4748666286468506,0.435546875,1.0,161.17320076899978,0.435546875,-0.005795344710350037,0.0,211.939453125,-2.4748666286468506,0.435546875,0.00024746358926561554,164.97439622879028,37.0,0.0,0.24532451400000355,0.001,7.220703125,1826.7265625,991356.0,109.515625,11.697179887999937,0.435546875,43.22348119899971,94.0155296009998,2.8082907632661743e-05,0.0,0.012051918965538339,0.12226606689153179,0.0009345126680038388,1545.6008968609865,4.7174887892376685,2043.6505190311418,0.6875,-2.4748666286468506,991356.0,0.435546875,0.005894334010419345,991356.0,0.0,-0.005795344710350037,2.4748666286468506,6150.873689111959,991356.0,654.0,0.0,1.0458456780461054e-06,17.0,0.435546875,9.152249134948097,1826.7265625,388.0,0.658203125,991356.0,0.043600362734476525,1e-06,14564323.0,1.0,161.17320076899978,0.1005208360252071,0.0046463157050311565,35.83124923706055,2048.0,991356.0,0.24612274765968323,0.435546875,,
,18,3417.125217737,,,,,,,,,,1779935016.3367486,,11.895167706999928,2.4748666286468506,0.4609375,1.0,159.96141583400004,0.4609375,-0.00857547577470541,0.0,211.939453125,-2.4748666286468506,0.4609375,0.00023846607031472518,164.97439622879028,34.0,0.0,0.23589945999992779,0.001,6.177734375,1841.212890625,989237.0,90.890625,11.723676474000058,0.4609375,43.7936448129999,92.27199993499971,1.3366378871282336e-05,0.0,0.01202458835142633,0.11052202177233994,0.0012713409378193319,1600.2288135593221,4.639830508474576,2047.2717391304348,0.671875,-2.4748666286468506,989237.0,0.4609375,0.008678888596477918,989237.0,0.0,-0.00857547577470541,2.4748666286468506,6184.222581691704,989237.0,758.0,0.0,3.178652150381822e-06,18.0,0.4609375,7.492753623188406,1841.212890625,353.0,0.6640625,989237.0,0.04427012415932674,1e-06,15499607.0,1.0,159.96141583400004,0.09788045195136073,0.0044121271930634975,35.83946990966797,2048.0,989237.0,0.32397663593292236,0.4609375,,
,19,3576.949100067,,,,,,,,,,1779935171.1400013,,11.417404968000028,2.4748666286468506,0.5078125,1.0,154.5378941490003,0.5078125,-0.011006961576640606,0.0,211.939453125,-2.4748666286468506,0.5078125,0.00023852012630065777,164.97439622879028,36.0,0.0,0.22677205599984518,0.001,5.75390625,1777.94140625,950746.0,78.984375,11.213285534000079,0.5078125,41.9788038290003,89.65927507200013,1.1114862342853279e-05,0.0,0.012008890879372649,0.10591661833947705,0.0010551189170068791,1553.3615384615384,4.0807692307692305,2009.6507936507937,0.609375,-2.4748666286468506,950746.0,0.5078125,0.011090777820021274,950746.0,0.0,-0.011006961576640606,2.4748666286468506,6152.18684864,950746.0,688.0,0.0,1.0999817365495068e-06,19.0,0.5078125,7.48015873015873,1777.94140625,210.0,0.60546875,950746.0,0.0441535424066999,1e-06,16442308.0,1.0,154.5378941490003,0.09849355609212741,0.005786760710179806,35.84127426147461,2048.0,950746.0,0.2650475800037384,0.5078125,,
,20,3735.388837635,,,,,,,,,,1779935330.9641535,,11.797651508999934,2.4748666286468506,0.5234375,1.0,159.5396751549997,0.5234375,-0.005590308923274279,0.0,211.939453125,-2.4748666286468506,0.5234375,0.00023975853831261767,165.09199905395508,34.0,0.0,0.2322382719999041,0.001,5.388671875,1798.69140625,968634.0,93.171875,11.734061213000132,0.5234375,42.632048652999856,93.10247540099999,6.375872368759398e-05,0.0,0.012179679330892715,0.10496034671862921,0.0007092204643413425,1571.7089552238806,3.7388059701492535,2048.0,0.765625,-2.4748666286468506,968634.0,0.5234375,0.005598879035096616,968634.0,0.0,-0.005590308923274279,2.4748666286468506,6071.430188502829,968634.0,634.0,0.0,1.110851856841085e-06,20.0,0.5234375,7.200819672131147,1798.69140625,438.0,0.61328125,968634.0,0.044012546176367816,1e-06,17352614.0,1.0,159.5396751549997,0.10109614780819388,0.006327400915324688,35.84077072143555,2048.0,968634.0,0.21828246116638184,0.5234375,,
